;;;;;;;;;
;;;;;;;;;
1994;2.009,20;7.812,90;8.331,60;587,6;452;299,6;0,5;19.493,20;1.563
1995;1.885,90;7.818,00;8.425,40;595,2;460,3;314,4;0,5;19.499,80;1.574
1996;1.815,10;8.039,60;8.738,00;626,5;483;348,9;0,6;20.051,60;1.586
1997;1.692,70;8.160,80;8.989,00;667,6;493,9;380,2;0,5;20.384,70;1.600
1998;1.577,40;8.175,00;9.209,20;714,3;502,3;411,9;0,5;20.590,50;1.614
1999;1.535,20;8.227,80;9.528,40;771,7;518,9;448,6;0,5;21.031,00;1.628
2000;1.513,80;8.235,00;9.684,90;806,7;523,3;468,4;0,5;21.232,60;1.635
2001;1.469,50;8.364,10;9.895,70;879,6;537,2;494,6;0,5;21.641,10;1.641
2002;1.421,10;8.398,40;10.019,10;938,7;542;519,8;0,4;21.839,50;1.647
2003;1.349,30;8.360,80;10.019,70;973,5;550;551,8;0,4;21.805,50;1.654
2004;1.317,20;8.417,00;10.090,20;995,5;566,1;590,1;0,5;21.976,60;1.658
2005;1.272,60;8.359,00;10.070,30;993,7;564,9;615,2;0,5;21.876,00;1.662
2006;1.243,10;8.203,10;9.860,80;973;557,4;628;0,4;21.465,80;1.663
2007;1.232,10;8.155,60;9.739,10;945,5;554,3;637,5;0,4;21.264,40;1.662
2008;1.235,40;8.122,40;9.486,90;892,7;536,5;624,7;0,4;20.899,10;1.656
2009;1.247,50;8.109,70;9.155,30;844;519,7;614,5;0,4;20.491,20;1.649
2010;1.261,10;8.148,00;8.799,90;783,9;496,4;593,4;0,4;20.083,10;1.639
2011;1.272,70;8.127,20;8.401,80;715,2;463,1;568;0,4;19.548,50;1.625
2012;1.334,90;8.149,70;8.041,30;651,4;431,4;549,8;0,4;19.158,80;1.613
2013;1.487,10;8.149,60;7.701,50;589,6;404,9;537,1;0,5;18.870,30;1.598
2014;1.660,20;8.175,00;7.344,30;535;388,4;529,2;0,5;18.632,60;1.584
2015;1.856,60;8.281,10;6.985,20;485,5;378,3;524,6;0,5;18.511,70;1.571
2016;2.082,60;8.396,40;6.603,50;438,8;370,8;517,9;0,5;18.410,50;1.557
2017;2.310,10;8.517,30;6.245,00;393,3;375,7;506,4;0,5;18.348,30;1.544
;;;;;;;;;
1994;10,3;40,1;42,7;3;2,3;1,5;-;100;
1995;9,7;40,1;43,2;3,1;2,4;1,6;-;100;
1996;9,1;40,1;43,6;3,1;2,4;1,7;-;100;
1997;8,3;40;44,1;3,3;2,4;1,9;-;100;
1998;7,7;39,7;44,7;3,5;2,4;2;-;100;
1999;7,3;39,1;45,3;3,7;2,5;2,1;-;100;
2000;7,1;38,8;45,6;3,8;2,5;2,2;-;100;
2001;6,8;38,6;45,7;4,1;2,5;2,3;-;100;
2002;6,5;38,5;45,9;4,3;2,5;2,4;-;100;
2003;6,2;38,3;46;4,5;2,5;2,5;-;100;
2004;6;38,3;45,9;4,5;2,6;2,7;-;100;
2005;5,8;38,2;46;4,5;2,6;2,8;-;100;
2006;5,8;38,2;45,9;4,5;2,6;2,9;-;100;
2007;5,8;38,4;45,8;4,4;2,6;3;-;100;
2008;5,9;38,9;45,4;4,3;2,6;3;-;100;
2009;6,1;39,6;44,7;4,1;2,5;3;-;100;
2010;6,3;40,6;43,8;3,9;2,5;3;-;100;
2011;6,5;41,6;43;3,7;2,4;2,9;-;100;
2012;7;42,5;42;3,4;2,3;2,9;-;100;
2013;7,9;43,2;40,8;3,1;2,1;2,8;-;100;
2014;8,9;43,9;39,4;2,9;2,1;2,8;-;100;
2015;10;44,7;37,7;2,6;2;2,8;-;100;
2016;11,3;45,6;35,9;2,4;2;2,8;-;100;
2017;12,6;46,4;34;2,1;2;2,8;-;100;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
